epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.126,0.76415,4.83726,1.06922,0.16093,0.20654,0.12693,0.10874,0.54613,3.25794,0.94024,2.32941e-05,2.32941e-05,2.32941e-05
2,314.233,0.61684,2.34092,0.98345,0.344,0.3695,0.31637,0.27227,0.55084,2.5995,0.93818,4.57042e-05,4.57042e-05,4.57042e-05
3,471.251,0.56002,1.48272,0.95105,0.48882,0.51232,0.50222,0.43764,0.5257,2.29937,0.9309,6.71903e-05,6.71903e-05,6.71903e-05
4,627.384,0.52513,1.05544,0.93074,0.6266,0.58334,0.61846,0.53534,0.51138,1.94519,0.92193,6.5842e-05,6.5842e-05,6.5842e-05
5,777.138,0.5041,0.85603,0.91928,0.66102,0.60745,0.65726,0.56685,0.51438,1.90749,0.92045,6.4456e-05,6.4456e-05,6.4456e-05
6,925.455,0.48483,0.72229,0.90991,0.71617,0.63917,0.71881,0.62552,0.49786,1.70167,0.92046,6.307e-05,6.307e-05,6.307e-05
7,1074.49,0.47536,0.64988,0.90636,0.72673,0.67767,0.73849,0.64626,0.49844,1.6586,0.92309,6.1684e-05,6.1684e-05,6.1684e-05
8,1227.61,0.46099,0.58548,0.89904,0.75103,0.68188,0.74468,0.65148,0.48919,1.63143,0.91288,6.0298e-05,6.0298e-05,6.0298e-05
9,1376.02,0.45275,0.54348,0.89315,0.76921,0.6764,0.76276,0.67057,0.49496,1.70258,0.91303,5.8912e-05,5.8912e-05,5.8912e-05
10,1528.31,0.44054,0.50891,0.88824,0.76198,0.69705,0.76749,0.67292,0.49017,1.53444,0.92245,5.7526e-05,5.7526e-05,5.7526e-05
11,1683.44,0.43399,0.48809,0.88833,0.78202,0.71527,0.79101,0.69578,0.49778,1.54095,0.93064,5.614e-05,5.614e-05,5.614e-05
12,1835.17,0.42928,0.46679,0.88393,0.77729,0.71511,0.78479,0.69239,0.4954,1.5863,0.93659,5.4754e-05,5.4754e-05,5.4754e-05
13,1983.01,0.41933,0.44516,0.8813,0.75807,0.72068,0.78809,0.69418,0.48074,1.57214,0.92689,5.3368e-05,5.3368e-05,5.3368e-05
14,2135.35,0.41866,0.43215,0.87875,0.79139,0.72457,0.79995,0.70484,0.48511,1.56288,0.93908,5.1982e-05,5.1982e-05,5.1982e-05
15,2290.13,0.41287,0.41917,0.87634,0.7926,0.73048,0.80202,0.70875,0.48205,1.54795,0.93147,5.0596e-05,5.0596e-05,5.0596e-05
16,2443.63,0.40709,0.41111,0.87527,0.79635,0.74271,0.81785,0.72108,0.45768,1.41115,0.90743,4.921e-05,4.921e-05,4.921e-05
17,2597.62,0.40636,0.40185,0.87587,0.80376,0.73944,0.81269,0.7174,0.47976,1.50382,0.92141,4.7824e-05,4.7824e-05,4.7824e-05
18,2751.85,0.40073,0.38739,0.86971,0.78318,0.73911,0.80366,0.71187,0.46695,1.43153,0.91719,4.6438e-05,4.6438e-05,4.6438e-05
19,2905.8,0.39834,0.38076,0.86979,0.80275,0.74974,0.81551,0.72223,0.46494,1.42531,0.90352,4.5052e-05,4.5052e-05,4.5052e-05
20,3059.69,0.3942,0.37543,0.87133,0.80018,0.75464,0.81542,0.72564,0.46308,1.41136,0.91628,4.3666e-05,4.3666e-05,4.3666e-05
21,3213.87,0.38789,0.36516,0.86612,0.80765,0.73952,0.81258,0.72226,0.47397,1.37003,0.93148,4.228e-05,4.228e-05,4.228e-05
22,3368.84,0.38757,0.35781,0.86414,0.80296,0.74569,0.81184,0.72225,0.45739,1.48386,0.90825,4.0894e-05,4.0894e-05,4.0894e-05
23,3523.27,0.3805,0.35301,0.8633,0.79456,0.74038,0.80652,0.71889,0.46153,1.52719,0.91375,3.9508e-05,3.9508e-05,3.9508e-05
24,3684.51,0.38151,0.34952,0.8634,0.82312,0.73608,0.81113,0.7225,0.47055,1.48055,0.92647,3.8122e-05,3.8122e-05,3.8122e-05
25,3852.77,0.37562,0.33934,0.86193,0.79594,0.76465,0.81852,0.72854,0.45215,1.41546,0.90791,3.6736e-05,3.6736e-05,3.6736e-05
26,4022.18,0.378,0.33731,0.85995,0.7994,0.75509,0.81724,0.72935,0.4641,1.40359,0.93187,3.535e-05,3.535e-05,3.535e-05
27,4191.86,0.37478,0.33495,0.86358,0.80439,0.74821,0.81709,0.73041,0.45114,1.45266,0.91424,3.3964e-05,3.3964e-05,3.3964e-05
28,4360.64,0.36889,0.32633,0.86015,0.80969,0.75455,0.81938,0.73198,0.45052,1.4268,0.90331,3.2578e-05,3.2578e-05,3.2578e-05
29,4528.45,0.37087,0.32638,0.85869,0.80946,0.74268,0.8212,0.73486,0.44919,1.40476,0.90575,3.1192e-05,3.1192e-05,3.1192e-05
30,4696.22,0.36341,0.3175,0.85658,0.80274,0.75734,0.82257,0.73475,0.45249,1.41322,0.9102,2.9806e-05,2.9806e-05,2.9806e-05
31,4863.43,0.3641,0.3139,0.85562,0.8136,0.76145,0.82721,0.7388,0.44236,1.34199,0.90341,2.842e-05,2.842e-05,2.842e-05
32,5030.53,0.35856,0.30817,0.85487,0.82336,0.76952,0.82788,0.73699,0.46167,1.40271,0.91575,2.7034e-05,2.7034e-05,2.7034e-05
33,5197.5,0.35932,0.30863,0.85362,0.8202,0.76403,0.82643,0.73762,0.45914,1.41192,0.91216,2.5648e-05,2.5648e-05,2.5648e-05
34,5364.95,0.35673,0.30784,0.85503,0.81135,0.76222,0.82246,0.73588,0.43997,1.36859,0.89726,2.4262e-05,2.4262e-05,2.4262e-05
35,5531.92,0.35893,0.30645,0.85605,0.80278,0.76595,0.82268,0.73381,0.45093,1.46353,0.90904,2.2876e-05,2.2876e-05,2.2876e-05
36,5699.16,0.35382,0.3,0.85381,0.82327,0.75391,0.82579,0.73773,0.4476,1.44061,0.90306,2.149e-05,2.149e-05,2.149e-05
37,5867.38,0.35488,0.29761,0.85316,0.8159,0.75615,0.82237,0.73585,0.44493,1.4761,0.90825,2.0104e-05,2.0104e-05,2.0104e-05
38,6034.61,0.34635,0.29079,0.85069,0.81299,0.76476,0.82569,0.73839,0.44798,1.52409,0.90817,1.8718e-05,1.8718e-05,1.8718e-05
39,6201.76,0.34607,0.29105,0.85001,0.81427,0.76536,0.82663,0.73945,0.44196,1.47593,0.90695,1.7332e-05,1.7332e-05,1.7332e-05
40,6369.22,0.34632,0.28861,0.85143,0.81001,0.76066,0.82075,0.73401,0.44326,1.48567,0.90829,1.5946e-05,1.5946e-05,1.5946e-05
41,6560.78,0.28508,0.22822,0.80888,0.81118,0.759,0.81554,0.72767,0.44874,1.52343,0.90818,1.456e-05,1.456e-05,1.456e-05
42,6730.01,0.2795,0.22133,0.80512,0.82211,0.75459,0.82197,0.73411,0.44465,1.45926,0.90563,1.3174e-05,1.3174e-05,1.3174e-05
43,6897.33,0.28035,0.21889,0.80548,0.81337,0.75481,0.82186,0.73363,0.44352,1.48232,0.90669,1.1788e-05,1.1788e-05,1.1788e-05
44,7065.07,0.27229,0.212,0.80171,0.82302,0.7484,0.82255,0.73431,0.44373,1.50498,0.91089,1.0402e-05,1.0402e-05,1.0402e-05
45,7232.5,0.27399,0.21086,0.80423,0.81276,0.7581,0.82329,0.73523,0.4452,1.52606,0.91239,9.016e-06,9.016e-06,9.016e-06
46,7400.23,0.26833,0.20776,0.80107,0.81028,0.76235,0.82612,0.73855,0.44063,1.50435,0.90984,7.63e-06,7.63e-06,7.63e-06
47,7567.9,0.26933,0.20719,0.79894,0.80803,0.76486,0.82487,0.73737,0.44128,1.51879,0.90942,6.244e-06,6.244e-06,6.244e-06
48,7735.57,0.2663,0.205,0.80118,0.809,0.76621,0.82677,0.73901,0.4393,1.50869,0.90629,4.858e-06,4.858e-06,4.858e-06
49,7903,0.26607,0.20457,0.79949,0.81596,0.75852,0.82583,0.73895,0.44038,1.51709,0.90965,3.472e-06,3.472e-06,3.472e-06
50,8070.56,0.26494,0.20254,0.79819,0.80668,0.76604,0.82671,0.74043,0.43896,1.50815,0.90888,2.086e-06,2.086e-06,2.086e-06
